HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459619.90680,2022-02-09.4015217,bB,2.07,17.290,>17.290,99.990,0.048,0.088,g
2459620.84237,2022-02-10.3370846,br,1.44,17.276,>17.276,99.990,0.194,0.089,g
2459620.84362,2022-02-10.3383342,br,1.43,17.158,>17.158,99.990,0.150,0.100,g
2459620.84487,2022-02-10.3395871,br,1.41,17.053,>17.053,99.990,0.176,0.110,g
2459621.98616,2022-02-11.4808918,bB,2.03,17.018,>17.018,99.990,-0.065,0.113,g
2459621.98743,2022-02-11.4821568,bB,2.04,16.986,>16.986,99.990,0.009,0.117,g
2459621.98869,2022-02-11.4834149,bB,2.02,17.001,>17.001,99.990,0.011,0.115,g
2459622.99901,2022-02-12.4937348,br,1.74,17.377,>17.377,99.990,0.078,0.081,g
2459623.00025,2022-02-12.4949813,br,1.79,17.493,>17.493,99.990,0.158,0.073,g
2459623.00151,2022-02-12.4962325,br,1.76,17.404,>17.404,99.990,0.080,0.079,g
2459624.94291,2022-02-14.4376688,bB,2.02,16.369,>16.369,99.990,-0.308,0.206,g
2459624.94418,2022-02-14.4389299,bB,2.02,16.438,>16.438,99.990,-0.014,0.193,g
2459624.94545,2022-02-14.4402,bB,2.02,16.317,>16.317,99.990,0.229,0.216,g
2459628.91012,2022-02-18.4049180,bB,2.15,16.369,>16.369,99.990,-0.163,0.206,g
2459628.91138,2022-02-18.4061809,bB,2.05,16.196,>16.196,99.990,0.026,0.241,g
2459628.91264,2022-02-18.4074437,bB,2.05,16.126,>16.126,99.990,0.033,0.257,g
2459629.92746,2022-02-19.4222894,bB,1.99,16.599,>16.599,99.990,0.012,0.167,g
2459629.92873,2022-02-19.4235512,bB,2.00,16.599,>16.599,99.990,0.678,0.167,g
2459629.92999,2022-02-19.4248120,bB,1.99,16.491,>16.491,99.990,0.226,0.184,g
2459631.87130,2022-02-21.3661575,bB,2.00,17.337,>17.337,99.990,0.131,0.084,g
2459631.87255,2022-02-21.3674135,bB,2.00,17.503,>17.503,99.990,-0.111,0.072,g
2459631.87383,2022-02-21.3686844,bB,2.00,17.291,>17.291,99.990,0.198,0.088,g
2459633.03328,2022-02-22.5281690,bB,2.36,17.169,>17.169,99.990,0.187,0.098,g
2459633.03454,2022-02-22.5294259,bB,2.35,17.136,>17.136,99.990,-0.112,0.102,g
2459633.03580,2022-02-22.5306876,bB,2.39,17.109,>17.109,99.990,0.322,0.104,g
2459635.74204,2022-02-25.2369953,bB,2.16,17.518,>17.518,99.990,0.112,0.071,g
2459635.74329,2022-02-25.2382465,bB,2.15,17.663,>17.663,99.990,0.151,0.063,g
2459635.74454,2022-02-25.2395024,bB,2.14,17.551,>17.551,99.990,0.181,0.069,g
2459637.03507,2022-02-26.5300644,bB,2.09,17.675,>17.675,99.990,0.086,0.062,g
2459637.03633,2022-02-26.5313237,bB,2.06,17.715,>17.715,99.990,-0.037,0.060,g
2459637.03758,2022-02-26.5325775,bB,2.07,17.848,>17.848,99.990,0.155,0.053,g
2459638.88023,2022-02-28.3752813,bB,1.73,17.828,>17.828,99.990,0.232,0.054,g
2459638.88149,2022-02-28.3765476,bB,1.74,17.715,>17.715,99.990,0.111,0.060,g
2459638.88277,2022-02-28.3778156,bB,1.77,17.690,>17.690,99.990,0.066,0.061,g
2459638.89573,2022-02-28.3907829,bB,1.76,17.876,>17.876,99.990,0.120,0.051,g
2459638.89702,2022-02-28.3920633,bB,1.75,17.886,>17.886,99.990,0.140,0.051,g
2459638.89827,2022-02-28.3933206,bB,1.76,17.889,>17.889,99.990,0.181,0.051,g
2459639.92670,2022-03-01.4217893,br,1.49,17.371,>17.371,99.990,0.068,0.082,g
2459639.92792,2022-03-01.4230006,br,1.47,17.346,>17.346,99.990,0.094,0.084,g
2459639.92917,2022-03-01.4242509,br,1.49,16.953,>16.953,99.990,0.161,0.120,g
2459641.99462,2022-03-03.4897818,bB,2.31,17.622,>17.622,99.990,0.104,0.065,g
2459641.99587,2022-03-03.4910342,bB,2.29,17.603,>17.603,99.990,0.002,0.066,g
2459641.99714,2022-03-03.4922984,bB,2.30,17.530,>17.530,99.990,0.098,0.071,g
2459643.76432,2022-03-05.2595385,br,1.40,17.551,>17.551,99.990,0.099,0.069,g
2459643.76556,2022-03-05.2607872,br,1.44,17.718,>17.718,99.990,0.172,0.059,g
2459643.76681,2022-03-05.2620290,br,1.38,17.643,>17.643,99.990,-0.002,0.064,g
2459645.01263,2022-03-06.5079129,bB,1.72,17.819,>17.819,99.990,-0.051,0.054,g
2459645.01390,2022-03-06.5091746,bB,1.76,17.935,>17.935,99.990,0.004,0.049,g
2459645.01516,2022-03-06.5104436,bB,1.72,17.813,>17.813,99.990,0.109,0.054,g
2459646.85418,2022-03-08.3495348,br,1.40,17.488,>17.488,99.990,0.127,0.073,g
2459646.85540,2022-03-08.3507634,br,1.39,17.527,>17.527,99.990,0.095,0.071,g
2459646.85665,2022-03-08.3520065,br,1.39,17.379,>17.379,99.990,0.102,0.081,g
2459648.93937,2022-03-10.4348231,bB,2.02,17.490,>17.490,99.990,0.189,0.073,g
2459648.94063,2022-03-10.4360873,bB,2.02,17.377,>17.377,99.990,0.133,0.081,g
2459648.94190,2022-03-10.4373524,bB,2.02,17.390,>17.390,99.990,0.288,0.080,g
