HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459465.54064,2021-09-08.0407064,bj,2.12,17.838,>17.838,99.990,-0.223,0.053,g
2459466.77485,2021-09-09.2749888,bB,2.27,19.282,>19.282,99.990,-0.013,0.014,g
2459467.29464,2021-09-09.7948100,bn,1.56,17.961,>17.961,99.990,0.060,0.048,g
2459469.77266,2021-09-12.2729952,bB,2.01,18.701,>18.701,99.990,0.015,0.024,g
2459470.76837,2021-09-13.2687792,bB,1.99,18.459,>18.459,99.990,-0.092,0.030,g
2459472.53602,2021-09-15.0365299,bF,1.68,17.228,>17.228,99.990,-0.307,0.093,g
2459476.27636,2021-09-18.7771166,bn,1.56,16.114,>16.114,99.990,-0.055,0.260,g
2459477.76077,2021-09-20.2616089,bB,2.22,17.227,>17.227,99.990,0.078,0.093,g
2459480.74889,2021-09-23.249925,bB,2.05,18.242,>18.242,99.990,-0.029,0.037,g
2459482.74050,2021-09-25.2416494,bB,2.21,19.072,>19.072,99.990,0.000,0.017,g
2459483.73974,2021-09-26.2409601,bB,2.46,19.072,>19.072,99.990,-0.036,0.017,g
2459484.50111,2021-09-27.0023736,bj,1.60,17.910,>17.910,99.990,-0.011,0.050,g
2459485.64419,2021-09-28.1455307,br,1.40,18.299,>18.299,99.990,-0.038,0.035,g
2459487.73307,2021-09-30.2345317,bB,2.18,19.025,>19.025,99.990,-0.009,0.018,g
2459490.61658,2021-10-03.1182098,br,1.46,18.493,>18.493,99.990,0.036,0.029,g
2459493.61271,2021-10-06.1145140,br,1.42,18.722,>18.722,99.990,-0.025,0.024,g
2459495.62603,2021-10-08.1279545,br,1.42,18.814,>18.814,99.990,-0.062,0.022,g
2459501.57690,2021-10-14.0791390,br,1.49,18.184,>18.184,99.990,-0.049,0.039,g
2459503.59406,2021-10-16.0964032,br,1.48,17.760,>17.760,99.990,0.024,0.057,g
2459505.59033,2021-10-18.0927843,br,1.49,17.631,>17.631,99.990,0.093,0.064,g
2459507.56671,2021-10-20.0692521,br,1.51,17.306,>17.306,99.990,-0.248,0.087,g
2459510.55517,2021-10-23.0578565,br,1.61,18.437,>18.437,99.990,-0.042,0.031,g
2459512.55338,2021-10-25.0561583,br,1.59,18.562,>18.562,99.990,-0.043,0.027,g
2459514.55594,2021-10-27.0587965,br,1.46,18.133,>18.133,99.990,0.056,0.041,g
2459516.55095,2021-10-29.0538917,br,1.59,18.409,>18.409,99.990,0.083,0.031,g
2459520.54112,2021-11-02.0442216,br,1.84,17.562,>17.562,99.990,0.120,0.069,g
2459585.02797,2022-01-05.5312041,br,1.59,18.166,>18.166,99.990,0.130,0.039,g
2459587.02528,2022-01-07.5284399,br,1.45,18.382,>18.382,99.990,0.070,0.032,g
2459591.16423,2022-01-11.6672376,bB,2.18,17.663,>17.663,99.990,-0.133,0.063,g
2459594.01669,2022-01-14.5195907,br,1.51,18.696,>18.696,99.990,0.018,0.024,g
2459601.13108,2022-01-21.6336458,bB,2.16,17.610,>17.610,99.990,0.093,0.066,g
2459604.13475,2022-01-24.6371680,bB,2.12,17.588,>17.588,99.990,-0.083,0.067,g
2459606.11761,2022-01-26.6199295,bB,2.09,18.453,>18.453,99.990,-0.054,0.030,g
2459608.11893,2022-01-28.6211466,bB,2.00,18.554,>18.554,99.990,-0.049,0.027,g
2459609.96304,2022-01-30.4651519,br,1.59,18.802,>18.802,99.990,-0.000,0.022,g
2459618.09134,2022-02-07.5929835,bB,2.03,18.750,>18.750,99.990,-0.034,0.023,g
2459620.08642,2022-02-09.5879568,bB,1.98,18.892,>18.892,99.990,-0.114,0.020,g
2459622.09145,2022-02-11.5928549,bB,1.98,18.889,>18.889,99.990,-0.060,0.020,g
2459624.08000,2022-02-13.5812978,bB,2.11,17.756,>17.756,99.990,-0.179,0.057,g
2459626.08333,2022-02-15.5844923,bB,2.04,17.457,>17.457,99.990,-0.087,0.076,g
2459627.97633,2022-02-17.4773717,br,1.99,17.531,>17.531,99.990,0.025,0.071,g
2459632.04676,2022-02-21.5475383,bB,2.07,17.833,>17.833,99.990,-0.052,0.053,g
2459635.05929,2022-02-24.5598753,bB,2.09,18.297,>18.297,99.990,-0.185,0.035,g
