HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458061.12440,2017-11-03.6252057,bb,1.77,17.041,>17.041,99.990,0.414,0.117,V
2458061.96908,2017-11-04.4698082,br,1.57,17.205,>17.205,99.990,-0.263,0.095,g
2458062.11665,2017-11-04.6173716,bb,1.73,16.788,>16.788,99.990,0.078,0.148,V
2458064.14777,2017-11-06.6483001,bb,1.77,17.069,>17.069,99.990,-0.168,0.114,V
2458074.98356,2017-11-17.4830718,br,1.50,18.515,>18.515,99.990,-0.015,0.029,g
2458075.12291,2017-11-17.6224070,bb,1.68,18.055,>18.055,99.990,0.139,0.046,V
2458075.98514,2017-11-18.4845547,br,1.44,18.926,>18.926,99.990,0.031,0.020,g
2458077.97611,2017-11-20.4753435,br,1.80,18.847,>18.847,99.990,0.005,0.021,g
2458079.08129,2017-11-21.5804101,bb,1.66,18.018,>18.018,99.990,-0.014,0.048,V
2458079.97224,2017-11-22.4712902,br,1.41,18.721,>18.721,99.990,-0.017,0.024,g
2458080.95264,2017-11-23.4515879,br,1.66,18.782,>18.782,99.990,0.032,0.022,g
2458081.94169,2017-11-24.4405560,br,1.50,18.671,>18.671,99.990,-0.129,0.025,g
2458082.93790,2017-11-25.4366663,br,1.67,18.965,>18.965,99.990,0.019,0.019,g
2458083.92301,2017-11-26.4216921,br,1.35,18.540,>18.540,99.990,0.022,0.028,g
2458084.91823,2017-11-27.4168083,br,1.49,18.952,>18.952,99.990,-0.009,0.019,g
2458085.91513,2017-11-28.4136210,br,1.82,18.857,>18.857,99.990,-0.031,0.021,g
2458092.12111,2017-12-04.6190585,bb,1.75,17.122,>17.122,99.990,0.188,0.109,V
2458100.01780,2017-12-12.5150800,bb,1.72,17.963,>17.963,99.990,0.020,0.050,V
2458101.97718,2017-12-14.4743074,bb,1.73,17.830,>17.830,99.990,0.147,0.057,V
2458109.99391,2017-12-22.4904288,bb,1.78,17.718,>17.718,99.990,-0.094,0.063,V
