HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458495.82356,2019-01-12.3191282,bs,1.51,17.624,15.754,0.039,1.813,0.065,g
2458496.82283,2019-01-13.3184541,bC,1.48,17.672,15.652,0.034,1.992,0.062,g
2458497.42119,2019-01-13.9168414,bo,1.43,17.440,15.630,0.041,2.034,0.077,g
2458499.81920,2019-01-16.3150025,bs,1.47,17.362,15.785,0.051,1.762,0.083,g
2458503.83628,2019-01-20.3323296,bC,1.52,17.411,16.237,0.074,1.162,0.079,g
2458505.36630,2019-01-21.8624481,bo,1.51,16.963,15.773,0.073,1.782,0.119,g
2458505.56971,2019-01-22.0658811,bk,1.50,17.095,16.151,0.092,1.258,0.105,g
2458506.55827,2019-01-23.0544984,bk,1.40,17.738,15.935,0.041,1.535,0.058,g
2458507.69142,2019-01-24.1877379,bk,1.41,17.291,15.891,0.060,1.599,0.088,g
2458508.39182,2019-01-24.8881824,bo,1.47,17.414,15.956,0.057,1.506,0.079,g
2458508.88082,2019-01-25.3772119,bC,1.57,17.686,15.879,0.041,1.617,0.061,g
2458510.29132,2019-01-26.7878296,bo,1.61,17.826,16.533,0.066,0.885,0.054,g
2458511.31734,2019-01-27.8139157,bo,1.47,18.401,18.057,0.159,0.217,0.032,g
2458512.67485,2019-01-29.1715379,bk,1.39,18.483,18.366,0.196,0.164,0.029,g
2458513.67224,2019-01-30.1689943,bG,1.45,18.242,>18.242,99.990,0.076,0.037,g
2458515.67466,2019-02-01.1715800,bG,1.41,18.328,>18.328,99.990,0.108,0.034,g
2458517.32065,2019-02-02.8176972,bo,1.53,18.313,>18.313,99.990,-0.264,0.034,g
2458518.66953,2019-02-04.1666935,bG,1.43,17.923,17.109,0.103,0.521,0.049,g
2458519.66114,2019-02-05.1583686,bG,1.51,17.965,16.803,0.075,0.690,0.047,g
2458520.55807,2019-02-06.0553892,bk,1.45,18.348,17.664,0.116,0.312,0.033,g
2458522.74902,2019-02-08.2465131,bs,1.47,17.691,15.787,0.038,1.758,0.061,g
2458524.37866,2019-02-09.8762913,bo,1.43,17.773,16.370,0.060,1.029,0.057,g
2458525.60729,2019-02-11.1050353,bk,1.47,17.744,16.040,0.045,1.394,0.058,g
2458536.70253,2019-02-22.2012754,bs,1.56,17.653,>17.653,99.990,0.309,0.063,g
2458538.25854,2019-02-23.7574296,bo,2.48,17.327,>17.327,99.990,-0.053,0.085,g
2458539.34037,2019-02-24.8393608,bo,1.44,18.086,>18.086,99.990,-0.521,0.042,g
2458540.55516,2019-02-26.0542659,bG,1.42,18.428,>18.428,99.990,0.128,0.031,g
2458541.68646,2019-02-27.1856756,bs,1.44,18.359,18.076,0.168,0.214,0.033,g
2458542.59239,2019-02-28.0916869,bG,1.42,17.845,17.043,0.104,0.553,0.053,g
2458543.58326,2019-03-01.0826486,bG,1.58,18.048,17.142,0.095,0.505,0.044,g
2458546.30085,2019-03-03.8005074,bo,1.43,18.006,17.091,0.094,0.530,0.046,g
2458546.67987,2019-03-04.1795734,bs,1.54,17.896,16.242,0.047,1.156,0.051,g
2458548.28578,2019-03-05.7856224,bo,1.55,17.928,16.733,0.072,0.736,0.049,g
2458549.61130,2019-03-07.1112753,bs,1.43,17.928,16.426,0.055,0.976,0.049,g
2458554.51897,2019-03-12.0194114,bG,1.54,17.818,16.880,0.092,0.643,0.054,g
2458558.54634,2019-03-16.0471620,bG,1.47,17.480,>17.480,99.990,0.146,0.074,g
2458559.54219,2019-03-17.0431159,bk,1.45,17.548,>17.548,99.990,-0.122,0.070,g
2458560.54018,2019-03-18.0411964,bG,1.46,17.252,>17.252,99.990,0.354,0.091,g
2458561.53539,2019-03-19.0364989,bG,1.55,17.248,16.834,0.149,0.671,0.092,g
2458562.49560,2019-03-19.9967929,bG,1.48,17.263,16.573,0.116,0.853,0.090,g
2458565.52364,2019-03-23.0251202,bG,1.46,17.456,16.115,0.063,1.301,0.076,g
2458566.51904,2019-03-24.0206108,bG,1.48,17.661,16.263,0.060,1.135,0.063,g
2458569.49894,2019-03-27.0007879,bk,1.65,18.529,>18.529,99.990,0.045,0.028,g
2458570.51923,2019-03-28.0211619,bG,1.42,18.109,17.688,0.148,0.306,0.041,g
2458572.61722,2019-03-30.1193481,bs,1.49,18.370,17.926,0.145,0.245,0.033,g
2458574.50768,2019-04-01.0099714,bG,1.46,18.170,>18.170,99.990,0.139,0.039,g
2458576.48647,2019-04-02.9889241,bG,1.77,17.988,>17.988,99.990,-0.083,0.046,g
2458577.52598,2019-04-04.0285219,bG,1.60,18.006,>18.006,99.990,0.113,0.046,g
2458579.48329,2019-04-05.9860056,bk,1.51,17.579,>17.579,99.990,-0.462,0.068,g
2458580.48680,2019-04-06.9896017,bG,1.55,18.079,>18.079,99.990,0.200,0.043,g
2458581.48598,2019-04-07.9888651,bG,1.48,18.142,>18.142,99.990,-0.126,0.040,g
2458585.46820,2019-04-11.9714003,bk,2.10,16.508,>16.508,99.990,-0.930,0.181,g
2458586.47389,2019-04-12.9771663,bG,1.74,17.589,>17.589,99.990,-0.091,0.067,g
2458589.46580,2019-04-15.9693094,bG,1.56,16.474,>16.474,99.990,0.551,0.187,g
2458590.46858,2019-04-16.9721645,bG,1.68,17.252,>17.252,99.990,-0.059,0.091,g
2458688.90975,2019-07-24.4137417,bG,1.47,17.365,16.233,0.077,1.166,0.082,g
2458695.93093,2019-07-31.4344258,bk,1.44,17.582,>17.582,99.990,0.001,0.067,g
2458696.92906,2019-08-01.4324812,bG,1.49,17.571,17.143,0.147,0.505,0.068,g
2458697.93633,2019-08-02.4396767,bG,1.53,16.961,>16.961,99.990,0.454,0.119,g
2458698.91122,2019-08-03.4144984,bk,1.44,18.367,>18.367,99.990,-0.076,0.033,g
2458699.93051,2019-08-04.4337107,bG,1.46,17.323,17.188,0.193,0.484,0.086,g
2458700.90695,2019-08-05.4100758,bk,1.41,18.302,>18.302,99.990,0.166,0.035,g
2458704.10931,2019-08-08.6121848,bC,1.42,18.474,18.238,0.176,0.184,0.030,g
2458704.91620,2019-08-09.4190082,bk,1.48,17.928,>17.928,99.990,0.119,0.049,g
2458705.90924,2019-08-10.4119656,bk,1.45,18.335,>18.335,99.990,-0.159,0.034,g
2458707.89199,2019-08-12.3945545,bG,1.48,17.643,16.315,0.064,1.082,0.064,g
2458714.08253,2019-08-18.5845589,bC,1.52,17.375,>17.375,99.990,-1.121,0.081,g
2458716.07779,2019-08-20.5796431,bC,1.50,17.656,>17.656,99.990,-0.821,0.063,g
2458722.94926,2019-08-27.4504942,bs,1.44,18.466,>18.466,99.990,-0.042,0.030,g
2458724.62387,2019-08-29.1249527,bo,1.51,18.425,>18.425,99.990,-0.222,0.031,g
2458726.94985,2019-08-31.4507103,bs,1.44,18.113,17.198,0.094,0.479,0.041,g
2458727.97128,2019-09-01.4720459,bs,1.45,18.443,>18.443,99.990,-0.057,0.030,g
